Chapter,Verse,Concept,Keyword,Sanskrit,English,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami,chapter,verse,speaker,sanskrit,translation,question,Shloka,Sanskrit Word,English Meaning,Hindi Meaning
2,13,Transmigration of Soul,Transmigration,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा| तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति || 2.13 || ,"Just as childhood, youth, and old age are natural stages for a living being in their current body, so too is the attainment of a new body. Therefore, a wise person is not deceived.",,,,,,,,,,,,,,,,,
2,14,Impermanance of pleasure and pain,Transience,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः| आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत || 2.14 || ,"The sensations of cold and heat, pleasure and pain, are a result of the interaction between our sense organs and external objects. However, these experiences are impermanent and will come to an end. Oh, descendant of Bharata, accept them without attachment.",,,,,,,,,,,,,,,,,
2,22,Transmigration of Soul,Transmigration,वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि| तथा शरीराणि विहाय जीर्णा- न्यन्यानि संयाति नवानि देही || 2.22 || ,"Just as a person discards old and tattered clothes and replaces them with new ones, similarly, after leaving behind an old and worn-out body, the embodied soul associates with a new body.",,,,,,,,,,,,,,,,,
2,25,Characteristics of Soul,Soul,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते| तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि || 2.25 || ,"It is said that ""This"" is imperceptible, unimaginable, and immutable. Thus, having understood ""This"" in this way, one should not experience sorrow.",,,,,,,,,,,,,,,,,
2,27,Cycle of Birth and Death,Transmigration,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च| तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि || 2.27 || ,"The demise of every being born into this world is inescapable, and rebirth after death is equally predetermined. Thus, there is no need to lament over an unavoidable truth.",,,,,,,,,,,,,,,,,
2,48,Equanimity,Equanimity,योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय| सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते || 2.48 ||  ,"O Dhananjaya (Arjuna), by immersing yourself in Yoga, perform your actions with equanimity, relinquishing attachment and remaining steady in success and failure. This state of equanimity is known as Yoga.",,,,,,,,,,,,,,,,,
2,55,Equanimity,Equanimity,प्रजहाति यदा कामान् सर्वान् पार्थ मनोगतान्| आत्मन्येवात्मना तुष्टः स्थितप्रज्ञस्तदोच्यते || 2.55 ||  ,"The Lord said- Partha, when an individual completely gives up all desires that have entered the mind and finds contentment solely in the Self, through the Self, that person is known as one with unwavering wisdom.",,,,,,,,,,,,,,,,,
2,56,Equanimity,Equanimity,दुःखेष्वनुद्विग्नमनाः सुखेषु विगतस्पृहः| वीतरागभयक्रोधः स्थितधीर्मुनिरुच्यते || 2.56 ||  ,"The person who remains steadfast in the face of misery, is uninterested in worldly pleasures, and is free from attachment, fear, and anger is known as a wise sage with unwavering wisdom.",,,,,,,,,,,,,,,,,
2,58,Sense Control,Self-restraint,यदा संहरते चायं कूर्मोऽङ्गानीव सर्वशः| इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता || 2.58 ||  ,"When an individual completely disengages from their senses from the objects of the senses, like a tortoise that disengages its limbs into its shell, their wisdom becomes firmly rooted.",,,,,,,,,,,,,,,,,
2,61,Sense control,Self-restraint,तानि सर्वाणि संयम्य युक्त आसीत मत्परः| वशे हि यस्येन्द्रियाणि तस्य प्रज्ञा प्रतिष्ठिता || 2.61 ||  ,"By controlling all of the senses, one should remain focused on Me as the absolute. The wisdom of an individual whose senses are under check becomes unwavering.",,,,,,,,,,,,,,,,,
